U2,Lambda,Force,RF2,,,,Lambda Crack,Crack Length,,,Time,U2,Lambda2,Force2,,,LambdaC2,Crack2
7.29E-01,1.1458666,55.801,5.58E-02,,,0.982958,1.03931832,13,,,14.4202,2.88404,1.576808,4.32982,,14.4353,1.577412,22.45
8.20E-01,1.1639288,63.147,6.31E-02,,,1.05475,1.04219,13,,,14.4258,2.88516,1.577032,4.30016,,14.4358,1.577432,22.65
9.33E-01,1.1865066,72.988,7.30E-02,,,1.12653,1.0450612,13,,,14.4673,2.89346,1.578692,3.76887,,14.4369,1.577476,22.85
1.07364,1.214728,86.715,8.67E-02,,,1.21558,1.0486232,13,,,14.4712,2.89424,1.578848,3.4221,,14.4377,1.577508,22.85
1.22841,1.245682,104.381,1.04E-01,,,1.30463,1.0521852,13,,,14.473,2.8946,1.57892,2.31734,,14.4378,1.577512,23.05
1.40591,1.281182,129.01,1.29E-01,,,1.41595,1.056638,13,,,14.4731,2.89462,1.578924,2.27478,,14.4388,1.577552,23.25
1.58341,1.316682,159.899,1.60E-01,,,1.52726,1.0610904,13,,,14.5,2.9,1.58,0,,14.4397,1.577588,23.25
1.7609,1.35218,198.259,1.98E-01,,,1.6664,1.066656,13,,,,,,,,14.44,1.5776,38
1.9384,1.38768,244.644,2.45E-01,,,1.80554,1.0722216,13,,,,,,,,14.45,1.578,39
1.9495,1.3899,249.91,2.50E-01,,,1.97946,1.0791784,13,,,,,,,,14.46,1.5784,40
1.95227,1.390454,250.75,2.51E-01,,,2.19687,1.0878748,13,,,,,,,,14.5,1.58,40
1.95574,1.391148,251.627,2.52E-01,,,2.46812,1.0987248,13,,,,,,,,15,1.6,40
1.95682,1.391364,251.932,2.52E-01,,,2.73936,1.1095744,13,,,,,,,,16,1.64,40
1.95817,1.391634,252.237,2.52E-01,,,3.07842,1.1231368,13,,,,,,,,16.1,1.644,40
1.95987,1.391974,252.454,2.52E-01,,,3.41747,1.1366988,13,,,,,,,,,,
1.96,1.392,252.469,2.52E-01,,,3.84129,1.1536516,13,,,,,,,,,,
1.96016,1.392032,252.473,2.52E-01,,,4.26511,1.1706044,13,,,,,,,,,,
1.96037,1.392074,252.469,2.52E-01,,,4.68893,1.1875572,13,,,,,,,,,,
1.96063,1.392126,252.408,2.52E-01,,,5.11275,1.20451,13,,,,,,,,,,
1.96095,1.39219,252.143,2.52E-01,,,5.53657,1.2214628,13,,,,,,,,,,
1.96136,1.392272,251.439,2.51E-01,,,5.96039,1.2384156,13,,,,,,,,,,
1.96186,1.392372,249.999,2.50E-01,,,6.38421,1.2553684,13,,,,,,,,,,
1.96199,1.392398,249.485,2.49E-01,,,6.80803,1.2723212,13,,,,,,,,,,
1.96211,1.392422,248.979,2.49E-01,,,7.23185,1.289274,13,,,,,,,,,,
1.96227,1.392454,248.284,2.48E-01,,,7.65566,1.3062264,13,,,,,,,,,,
1.96247,1.392494,247.315,2.47E-01,,,8.07948,1.3231792,13,,,,,,,,,,
1.96253,1.392506,246.953,2.47E-01,,,8.5033,1.340132,13,,,,,,,,,,
1.96261,1.392522,246.523,2.47E-01,,,9.03308,1.3613232,13,,,,,,,,,,
1.9627,1.39254,245.948,2.46E-01,,,9.6953,1.387812,13,,,,,,,,,,
1.96282,1.392564,245.189,2.45E-01,,,9.73668,1.3894672,13,,,,,,,,,,
1.96297,1.392594,244.19,2.44E-01,,,9.77807,1.3911228,13,,,,,,,,,,
1.96316,1.392632,242.836,2.43E-01,,,9.79101,1.3916404,13,,,,,,,,,,
