B2D1 Dis,B2D1 Force,B1D2 Dis,B1D2 Force,B1D3 Dis,B1D3 Force
1.36232,130.4074,1.03442,20.0864,1.03402,21.0331
1.36432,130.4627,1.03462,20.2133,1.03422,21.0616
1.36633,130.3834,1.03482,20.2296,1.03442,21.8542
1.3684,131.0458,1.03502,20.1284,1.03462,22.8798
1.37032,130.8565,1.03523,19.6865,1.03482,23.4322
1.37228,131.7805,1.03543,19.2261,1.03502,23.4024
1.37436,132.8132,1.03562,18.8519,1.03522,23.0625
1.3763,133.2659,1.03581,18.775,1.03541,22.5569
1.37834,134.5438,1.036,19.2789,1.03561,22.1834
1.38031,135.7014,1.03618,19.9326,1.0358,22.0784
1.38232,136.3129,1.03638,20.4799,1.03599,21.995
1.38445,137.3866,1.03658,20.7314,1.03618,22.1647
1.38625,138.4074,1.03678,20.8022,1.03638,22.5598
1.38833,139.4205,1.03699,20.6926,1.03657,22.8117
1.39042,139.3799,1.03721,20.2972,1.03677,22.8297
1.39229,140.6265,1.03742,19.8048,1.03698,23.0534
1.39436,141.6523,1.03764,19.4677,1.03719,23.5369
1.39633,141.277,1.03785,19.1748,1.0374,23.6304
1.39836,141.6218,1.03805,19.1853,1.03762,23.1355
1.40039,142.0979,1.03825,19.4299,1.03783,22.7452
1.40225,142.4764,1.03843,20.254,1.03804,22.635
1.40437,143.3738,1.03861,21.1765,1.03823,22.6018
1.40636,143.896,1.03879,21.6219,1.03842,22.3948
1.40828,145.1698,1.03898,21.3687,1.0386,22.3707
1.41036,145.8884,1.03916,20.5616,1.03878,22.6773
1.41233,146.3225,1.03935,20.0423,1.03896,23.1336
1.41441,147.1808,1.03955,20.0061,1.03915,23.7004
1.41628,148.2817,1.03976,20.0123,1.03934,24.4868
1.4183,148.7153,1.03998,20.0883,1.03954,24.7938
1.42041,150.0554,1.04021,20.1511,1.03975,24.1745
1.42232,150.1574,1.04044,20.3849,1.03995,23.146
1.42434,151.2223,1.04067,20.2519,1.04018,22.5871
1.42632,151.8238,1.04088,20.5277,1.04041,22.6944
1.4284,151.8843,1.04108,21.2989,1.04064,23.0421
1.43033,153.0422,1.04126,21.8285,1.04085,23.2378
1.43226,152.6763,1.04143,21.2123,1.04104,23.3361
1.43437,152.9047,1.04159,20.1756,1.04122,23.4797
1.43629,154.0383,1.04176,19.7561,1.04139,23.7072
1.43834,154.7755,1.04193,20.031,1.04155,23.9547
1.44032,155.3391,1.04211,20.1584,1.04172,24.4811
1.4423,156.5317,1.0423,20.883,1.04189,24.9491
1.44444,156.9391,1.0425,21.627,1.04207,24.7359
1.44623,158.072,1.04271,22.1034,1.04226,23.6541
1.44834,157.7873,1.04293,21.9153,1.04246,22.7616
1.45042,157.7703,1.04317,21.6185,1.04267,22.8403
1.45229,159.1438,1.0434,21.479,1.0429,23.5453
1.45437,159.6624,1.04363,21.1756,1.04313,24.3547
1.45633,160.1366,1.04384,20.8213,1.04337,24.8865
